#	Pokémon		Item	Moves				Nature	EVs
									HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
693		Clawitzer	Focus Sash	{MoveID:183s,MovePP:10b}	{MoveID:25s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:233s,MovePP:15b}	Jolly	-	252	-	-	-	252
685		Slurpuff	Kee Berry	{MoveID:262s,MovePP:5b}	{MoveID:608s,MovePP:10b}	{MoveID:28s,MovePP:20b}	{MoveID:537s,MovePP:10b}	Adamant	-	252	-	-	252	-
683		Aromatisse	Expert Belt	{MoveID:221s,MovePP:10b}	{MoveID:124s,MovePP:10b}	{MoveID:223s,MovePP:10b}	{MoveID:597s,MovePP:15b}	Modest	-	-	-	252	252	-
689		Barbaracle	Razor Claw	{MoveID:286s,MovePP:5b}	{MoveID:533s,MovePP:10b}	{MoveID:316s,MovePP:5b}	{MoveID:208s,MovePP:15b}	Adamant	-	252	252	-	-	-
701		Hawlucha	Power Herb	{MoveID:175s,MovePP:5b}	{MoveID:579s,MovePP:10b}	{MoveID:254s,MovePP:20b}	{MoveID:286s,MovePP:5b}	Jolly	-	252	-	-	-	252
703		Carbink	Scope Lens	{MoveID:184s,MovePP:5b}	{MoveID:129s,MovePP:10b}	{MoveID:597s,MovePP:15b}	{MoveID:439s,MovePP:20b}	Quiet	-	252	-	252	-	-
668		Pyroar	White Herb	{MoveID:205s,MovePP:5b}	{MoveID:366s,MovePP:10b}	{MoveID:269s,MovePP:15b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	-	252
713		Avalugg	Iron Ball	{MoveID:286s,MovePP:5b}	{MoveID:447s,MovePP:10b}	{MoveID:218s,MovePP:5b}	{MoveID:58s,MovePP:10b}	Brave	-	252	252	-	-	-
697		Tyrantrum	Choice Band	{MoveID:260s,MovePP:15b}	{MoveID:55s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:478s,MovePP:5b}	Adamant	-	252	-	-	-	252
699		Aurorus	Life Orb	{MoveID:57s,MovePP:5b}	{MoveID:221s,MovePP:10b}	{MoveID:124s,MovePP:10b}	{MoveID:129s,MovePP:10b}	Modest	-	-	-	252	252	-
663		Talonflame	Sitrus Berry	{MoveID:443s,MovePP:15b}	{MoveID:211s,MovePP:15b}	{MoveID:133s,MovePP:30b}	{MoveID:35s,MovePP:20b}	Adamant	-	252	-	-	-	252
700		Sylveon	Big Root	{MoveID:571s,MovePP:10b}	{MoveID:561s,MovePP:30b}	{MoveID:223s,MovePP:10b}	{MoveID:596s,MovePP:10b}	Modest	-	-	-	252	252	-
652		Chesnaught	White Herb	{MoveID:470s,MovePP:15b}	{MoveID:409s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:286s,MovePP:5b}	Adamant	-	252	252	-	-	-
655		Delphox	White Herb	{MoveID:205s,MovePP:5b}	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:223s,MovePP:10b}	Modest	-	-	-	252	-	252
658		Greninja	Wide Lens	{MoveID:103s,MovePP:5b}	{MoveID:269s,MovePP:15b}	{MoveID:106s,MovePP:5b}	{MoveID:383s,MovePP:20b}	Modest	-	-	-	252	-	252
673		Gogoat	Choice Band	{MoveID:58s,MovePP:10b}	{MoveID:400s,MovePP:15b}	{MoveID:263s,MovePP:15b}	{MoveID:201s,MovePP:15b}	Adamant	-	252	-	-	-	252
715		Noivern	Wide Lens	{MoveID:437s,MovePP:10b}	{MoveID:541s,MovePP:10b}	{MoveID:51s,MovePP:15b}	{MoveID:442s,MovePP:5b}	Modest	-	-	-	252	-	252
671		Florges	Lum Berry	{MoveID:505s,MovePP:15b}	{MoveID:42s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:597s,MovePP:15b}	Modest	-	-	-	252	252	-
706		Goodra	White Herb	{MoveID:456s,MovePP:5b}	{MoveID:124s,MovePP:10b}	{MoveID:106s,MovePP:5b}	{MoveID:158s,MovePP:5b}	Modest	-	-	-	252	252	-
709		Trevenant	Iron Ball	{MoveID:455s,MovePP:5b}	{MoveID:442s,MovePP:5b}	{MoveID:33s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Quiet	-	-	252	252	-	-
711		Gourgeist	Life Orb	{MoveID:619s,MovePP:20b}	{MoveID:606s,MovePP:10b}	{MoveID:15s,MovePP:15b}	{MoveID:187s,MovePP:10b}	Adamant	252	252	-	-	-	-
693		Clawitzer	Choice Specs	{MoveID:213s,MovePP:20b}	{MoveID:269s,MovePP:15b}	{MoveID:437s,MovePP:10b}	{MoveID:432s,MovePP:20b}	Modest	-	-	-	252	-	252
685		Slurpuff	Expert Belt	{MoveID:567s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:51s,MovePP:15b}	Modest	-	-	-	252	-	252
683		Aromatisse	Leftovers	{MoveID:560s,MovePP:20b}	{MoveID:567s,MovePP:10b}	{MoveID:512s,MovePP:10b}	{MoveID:455s,MovePP:5b}	Sassy	252	-	-	-	252	-
3		Venusaur	Big Root	{MoveID:4s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:14s,MovePP:5b}	{MoveID:341s,MovePP:20b}	Calm	252	-	-	-	252	-
6		Charizard	Salac Berry	{MoveID:55s,MovePP:15b}	{MoveID:31s,MovePP:15b}	{MoveID:243s,MovePP:10b}	{MoveID:208s,MovePP:15b}	Adamant	170	-	-	-	170	170
9		Blastoise	Zoom Lens	{MoveID:429s,MovePP:20b}	{MoveID:187s,MovePP:10b}	{MoveID:214s,MovePP:10b}	{MoveID:215s,MovePP:15b}	Quiet	170	-	170	-	170	-
154		Meganium	Sitrus Berry	{MoveID:20s,MovePP:30b}	{MoveID:372s,MovePP:5b}	{MoveID:37s,MovePP:15b}	{MoveID:24s,MovePP:10b}	Gentle	252	-	-	-	252	-
157		Typhlosion	Passho Berry	{MoveID:49s,MovePP:15b}	{MoveID:51s,MovePP:15b}	{MoveID:24s,MovePP:10b}	{MoveID:19s,MovePP:5b}	Rash	-	-	-	252	-	252
160		Feraligatr	Lax Incense	{MoveID:138s,MovePP:40b}	{MoveID:471s,MovePP:20b}	{MoveID:58s,MovePP:10b}	{MoveID:389s,MovePP:5b}	Careful	252	-	-	-	252	-
254		Sceptile	Focus Sash	{MoveID:133s,MovePP:30b}	{MoveID:262s,MovePP:5b}	{MoveID:293s,MovePP:5b}	{MoveID:459s,MovePP:5b}	Timid	-	-	-	252	-	252
257		Blaziken	Salac Berry	{MoveID:168s,MovePP:10b}	{MoveID:114s,MovePP:20b}	{MoveID:51s,MovePP:15b}	{MoveID:207s,MovePP:15b}	Naughty	170	-	170	-	-	170
260		Swampert	Jaboca Berry	{MoveID:318s,MovePP:20b}	{MoveID:114s,MovePP:20b}	{MoveID:58s,MovePP:10b}	{MoveID:56s,MovePP:15b}	Sassy	-	-	252	-	252	-
389		Torterra	Binding Band	{MoveID:277s,MovePP:15b}	{MoveID:15s,MovePP:15b}	{MoveID:232s,MovePP:10b}	{MoveID:14s,MovePP:5b}	Adamant	252	252	-	-	-	-
392		Infernape	King's Rock	{MoveID:324s,MovePP:10b}	{MoveID:311s,MovePP:5b}	{MoveID:416s,MovePP:10b}	{MoveID:251s,MovePP:15b}	Jolly	-	252	-	-	-	252
395		Empoleon	Sitrus Berry	{MoveID:346s,MovePP:10b}	{MoveID:35s,MovePP:20b}	{MoveID:471s,MovePP:20b}	{MoveID:313s,MovePP:35b}	Lax	252	-	252	-	-	-
497		Serperior	Lum Berry	{MoveID:30s,MovePP:15b}	{MoveID:535s,MovePP:10b}	{MoveID:222s,MovePP:10b}	{MoveID:421s,MovePP:10b}	Jolly	-	-	170	-	170	170
500		Emboar	Chesto Berry	{MoveID:218s,MovePP:5b}	{MoveID:232s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:304s,MovePP:10b}	Careful	252	-	-	-	252	-
503		Samurott	Splash Plate	{MoveID:518s,MovePP:5b}	{MoveID:533s,MovePP:10b}	{MoveID:261s,MovePP:10b}	{MoveID:311s,MovePP:5b}	Mild	252	252	-	-	-	-
51		Dugtrio	Focus Sash	{MoveID:237s,MovePP:15b}	{MoveID:30s,MovePP:15b}	{MoveID:127s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Hasty	-	252	-	-	-	252
105		Marowak	Salac Berry	{MoveID:38s,MovePP:10b}	{MoveID:293s,MovePP:5b}	{MoveID:58s,MovePP:10b}	{MoveID:35s,MovePP:20b}	Careful	252	-	-	-	252	-
308		Medicham	Black Belt	{MoveID:324s,MovePP:10b}	{MoveID:168s,MovePP:10b}	{MoveID:392s,MovePP:20b}	{MoveID:278s,MovePP:10b}	Impish	252	-	-	-	-	252
195		Quagsire	Rindo Berry	{MoveID:29s,MovePP:10b}	{MoveID:304s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:60s,MovePP:20b}	Impish	252	-	252	-	-	-
210		Granbull	Leftovers	{MoveID:298s,MovePP:20b}	{MoveID:21s,MovePP:10b}	{MoveID:518s,MovePP:5b}	{MoveID:268s,MovePP:10b}	Sassy	170	-	170	-	170	-
124		Jynx	Enigma Berry	{MoveID:571s,MovePP:10b}	{MoveID:250s,MovePP:5b}	{MoveID:174s,MovePP:10b}	{MoveID:30s,MovePP:15b}	Calm	252	-	252	-	-	-
122		Mr. Mime	Choice Scarf	{MoveID:337s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:33s,MovePP:10b}	Timid	-	-	-	252	-	252
171		Lanturn	Salac Berry	{MoveID:123s,MovePP:20b}	{MoveID:524s,MovePP:20b}	{MoveID:159s,MovePP:15b}	{MoveID:132s,MovePP:30b}	Naughty	-	252	-	-	-	252
286		Breloom	Black Belt	{MoveID:373s,MovePP:20b}	{MoveID:336s,MovePP:20b}	{MoveID:240s,MovePP:30b}	{MoveID:119s,MovePP:30b}	Brave	252	252	-	-	-	-
205		Forretress	Occa Berry	{MoveID:246s,MovePP:20b}	{MoveID:279s,MovePP:20b}	{MoveID:285s,MovePP:20b}	{MoveID:215s,MovePP:15b}	Impish	252	-	252	-	-	-
227		Skarmory	Lax Incense	{MoveID:246s,MovePP:20b}	{MoveID:285s,MovePP:20b}	{MoveID:513s,MovePP:10b}	{MoveID:74s,MovePP:20b}	Naive	252	-	-	-	-	252
359		Absol	Sitrus Berry	{MoveID:268s,MovePP:10b}	{MoveID:250s,MovePP:5b}	{MoveID:54s,MovePP:15b}	{MoveID:255s,MovePP:40b}	Careful	170	-	170	-	170	-
340		Whiscash	Chesto Berry	{MoveID:58s,MovePP:10b}	{MoveID:378s,MovePP:20b}	{MoveID:165s,MovePP:20b}	{MoveID:29s,MovePP:10b}	Careful	-	252	-	-	252	-
297		Hariyama	King's Rock	{MoveID:278s,MovePP:10b}	{MoveID:324s,MovePP:10b}	{MoveID:284s,MovePP:15b}	{MoveID:314s,MovePP:10b}	Brave	-	170	170	-	170	-
416		Vespiquen	Quick Claw	{MoveID:473s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:474s,MovePP:10b}	Sassy	170	-	170	-	170	-
26		Raichu	Focus Sash	{MoveID:311s,MovePP:5b}	{MoveID:196s,MovePP:25b}	{MoveID:123s,MovePP:20b}	{MoveID:457s,MovePP:15b}	Adamant	-	-	-	252	-	252
87		Dewgong	Icy Rock	{MoveID:292s,MovePP:15b}	{MoveID:16s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:220s,MovePP:10b}	Mild	252	-	252	-	-	-
310		Manectric	Life Orb	{MoveID:260s,MovePP:15b}	{MoveID:374s,MovePP:40b}	{MoveID:133s,MovePP:30b}	{MoveID:263s,MovePP:15b}	Adamant	-	252	-	-	-	252
398		Staraptor	Focus Sash	{MoveID:254s,MovePP:20b}	{MoveID:360s,MovePP:15b}	{MoveID:133s,MovePP:30b}	{MoveID:262s,MovePP:5b}	Hasty	-	252	-	-	-	252
423		Gastrodon	Damp Rock	{MoveID:216s,MovePP:5b}	{MoveID:27s,MovePP:10b}	{MoveID:386s,MovePP:10b}	{MoveID:114s,MovePP:20b}	Gentle	-	-	-	252	252	-
435		Skuntank	Shuca Berry	{MoveID:51s,MovePP:15b}	{MoveID:434s,MovePP:15b}	{MoveID:206s,MovePP:15b}	{MoveID:330s,MovePP:10b}	Naughty	-	252	-	-	-	252
539		Sawk	Black Belt	{MoveID:499s,MovePP:20b}	{MoveID:509s,MovePP:15b}	{MoveID:518s,MovePP:5b}	{MoveID:225s,MovePP:5b}	Naughty	-	252	-	-	-	252
538		Throh	Payapa Berry	{MoveID:21s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:515s,MovePP:10b}	{MoveID:486s,MovePP:10b}	Impish	-	252	252	-	-	-
521		Unfezant	Enigma Berry	{MoveID:203s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:71s,MovePP:10b}	{MoveID:412s,MovePP:15b}	Jolly	170	170	170	-	-	-
45		Vileplume	Persim Berry	{MoveID:42s,MovePP:10b}	{MoveID:119s,MovePP:30b}	{MoveID:361s,MovePP:20b}	{MoveID:275s,MovePP:5b}	Calm	-	-	-	-	252	252
71		Victreebel	Payapa Berry	{MoveID:535s,MovePP:10b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	{MoveID:421s,MovePP:10b}	Quiet	-	-	-	252	252	-
101		Electrode	Shuca Berry	{MoveID:37s,MovePP:15b}	{MoveID:20s,MovePP:30b}	{MoveID:229s,MovePP:10b}	{MoveID:123s,MovePP:20b}	Calm	252	-	-	-	252	-
272		Ludicolo	Leftovers	{MoveID:4s,MovePP:10b}	{MoveID:16s,MovePP:10b}	{MoveID:276s,MovePP:10b}	{MoveID:216s,MovePP:5b}	Lax	170	-	170	170	-	-
275		Shiftry	Iron Ball	{MoveID:416s,MovePP:10b}	{MoveID:9s,MovePP:25b}	{MoveID:201s,MovePP:15b}	{MoveID:35s,MovePP:20b}	Brave	170	170	-	-	170	-
295		Exploud	Chople Berry	{MoveID:158s,MovePP:5b}	{MoveID:56s,MovePP:15b}	{MoveID:325s,MovePP:10b}	{MoveID:366s,MovePP:10b}	Modest	-	-	252	252	-	-
428		Lopunny	{MoveID:16s,MovePP:10b} Orb	{MoveID:324s,MovePP:10b}	{MoveID:311s,MovePP:5b}	{MoveID:416s,MovePP:10b}	{MoveID:178s,MovePP:10b}	Naive	252	-	-	-	-	252
478		Froslass	Colbur Berry	{MoveID:220s,MovePP:10b}	{MoveID:105s,MovePP:10b}	{MoveID:484s,MovePP:5b}	{MoveID:122s,MovePP:15b}	Timid	-	-	-	252	-	252
549		Lilligant	Persim Berry	{MoveID:298s,MovePP:20b}	{MoveID:7s,MovePP:15b}	{MoveID:42s,MovePP:10b}	{MoveID:410s,MovePP:10b}	Timid	-	-	-	252	-	252
555		Darmanitan	Leftovers	{MoveID:31s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:207s,MovePP:15b}	Naive	252	-	-	-	-	252
424		Ambipom	King's Rock	{MoveID:324s,MovePP:10b}	{MoveID:416s,MovePP:10b}	{MoveID:196s,MovePP:25b}	{MoveID:254s,MovePP:20b}	Naive	-	252	-	-	-	252
563		Cofagrigus	Chesto Berry	{MoveID:136s,MovePP:15b}	{MoveID:207s,MovePP:15b}	{MoveID:250s,MovePP:5b}	{MoveID:29s,MovePP:10b}	Sassy	252	-	-	-	252	-
623		Golurk	Muscle Band	{MoveID:382s,MovePP:20b}	{MoveID:215s,MovePP:15b}	{MoveID:60s,MovePP:20b}	{MoveID:495s,MovePP:10b}	Lonely	252	-	-	-	252	-
632		Durant	Sitrus Berry	{MoveID:260s,MovePP:15b}	{MoveID:127s,MovePP:10b}	{MoveID:469s,MovePP:20b}	{MoveID:376s,MovePP:40b}	Naive	170	170	-	-	-	170
76		Golem	Hard Stone	{MoveID:285s,MovePP:20b}	{MoveID:232s,MovePP:10b}	{MoveID:218s,MovePP:5b}	{MoveID:284s,MovePP:15b}	Impish	170	170	170	-	-	-
80		Slowbro	Sitrus Berry	{MoveID:346s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:224s,MovePP:20b}	{MoveID:213s,MovePP:20b}	Bold	252	-	252	-	-	-
110		Weezing	Payapa Berry	{MoveID:307s,MovePP:20b}	{MoveID:184s,MovePP:5b}	{MoveID:146s,MovePP:30b}	{MoveID:207s,MovePP:15b}	Impish	252	-	252	-	-	-
115		Kangaskhan	Sitrus Berry	{MoveID:178s,MovePP:10b}	{MoveID:324s,MovePP:10b}	{MoveID:506s,MovePP:20b}	{MoveID:56s,MovePP:15b}	Adamant	-	252	-	-	-	252
128		Tauros	Liechi Berry	{MoveID:58s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:297s,MovePP:10b}	{MoveID:38s,MovePP:10b}	Naughty	-	252	-	-	-	252
442		Spiritomb	Sitrus Berry	{MoveID:259s,MovePP:5b}	{MoveID:307s,MovePP:20b}	{MoveID:16s,MovePP:10b}	{MoveID:352s,MovePP:5b}	Calm	252	-	-	-	252	-
615		Cryogonal	Charti Berry	{MoveID:292s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:142s,MovePP:10b}	{MoveID:20s,MovePP:30b}	Timid	-	-	252	-	-	252
621		Druddigon	Roseli Berry	{MoveID:260s,MovePP:15b}	{MoveID:47s,MovePP:10b}	{MoveID:169s,MovePP:30b}	{MoveID:222s,MovePP:10b}	Bold	-	252	252	-	-	-
518		Musharna	Zoom Lens	{MoveID:130s,MovePP:20b}	{MoveID:170s,MovePP:15b}	{MoveID:224s,MovePP:20b}	{MoveID:336s,MovePP:20b}	Mild	-	-	170	170	170	-
560		Scrafty	Liechi Berry	{MoveID:324s,MovePP:10b}	{MoveID:392s,MovePP:20b}	{MoveID:331s,MovePP:20b}	{MoveID:38s,MovePP:10b}	Naughty	252	252	-	-	-	-
598		Ferrothorn	Leftovers	{MoveID:464s,MovePP:15b}	{MoveID:123s,MovePP:20b}	{MoveID:267s,MovePP:10b}	{MoveID:341s,MovePP:20b}	Impish	252	-	252	-	-	-
65		Alakazam	TwistedSpoon	{MoveID:33s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:226s,MovePP:15b}	{MoveID:487s,MovePP:10b}	Timid	-	-	-	252	-	252
199		Slowking	Sitrus Berry	{MoveID:223s,MovePP:10b}	{MoveID:213s,MovePP:20b}	{MoveID:455s,MovePP:5b}	{MoveID:512s,MovePP:10b}	Calm	-	-	-	252	252	-
241		Miltank	Lum Berry	{MoveID:88s,MovePP:15b}	{MoveID:336s,MovePP:20b}	{MoveID:300s,MovePP:10b}	{MoveID:305s,MovePP:5b}	Jolly	252	-	-	-	-	252
334		Altaria	Sitrus Berry	{MoveID:51s,MovePP:15b}	{MoveID:537s,MovePP:10b}	{MoveID:437s,MovePP:10b}	{MoveID:405s,MovePP:10b}	Calm	252	-	-	-	252	-
454		{MoveID:16s,MovePP:10b}roak	Payapa Berry	{MoveID:324s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:259s,MovePP:5b}	{MoveID:225s,MovePP:5b}	Lonely	-	252	-	-	-	252
576		Gothitelle	Chesto Berry	{MoveID:373s,MovePP:20b}	{MoveID:129s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:224s,MovePP:20b}	Sassy	170	-	170	-	-	170
579		Reuniclus	Kee Berry	{MoveID:129s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:139s,MovePP:10b}	{MoveID:289s,MovePP:10b}	Bold	170	-	170	170	-	-
625		Bisharp	Sitrus Berry	{MoveID:434s,MovePP:15b}	{MoveID:313s,MovePP:35b}	{MoveID:225s,MovePP:5b}	{MoveID:414s,MovePP:10b}	Lax	252	-	252	-	-	-
460		Abomasnow	Leftovers	{MoveID:525s,MovePP:10b}	{MoveID:292s,MovePP:15b}	{MoveID:4s,MovePP:10b}	{MoveID:341s,MovePP:20b}	Impish	170	-	170	-	170	-
31		Nidoqueen	Payapa Berry	{MoveID:506s,MovePP:20b}	{MoveID:37s,MovePP:15b}	{MoveID:336s,MovePP:20b}	{MoveID:329s,MovePP:15b}	Relaxed	170	-	170	-	170	-
34		Nidoking	King's Rock	{MoveID:60s,MovePP:20b}	{MoveID:309s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:54s,MovePP:15b}	Naughty	252	252	-	-	-	-
346		Cradily	Tanga Berry	{MoveID:505s,MovePP:15b}	{MoveID:421s,MovePP:10b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	Bold	-	-	252	-	252	-
348		Armaldo	Chesto Berry	{MoveID:435s,MovePP:15b}	{MoveID:283s,MovePP:10b}	{MoveID:29s,MovePP:10b}	{MoveID:232s,MovePP:10b}	Brave	252	-	-	-	252	-
409		Rampardos	Passho Berry	{MoveID:187s,MovePP:10b}	{MoveID:260s,MovePP:15b}	{MoveID:232s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Brave	-	170	170	-	170	-
411		Bastiodon	Enigma Berry	{MoveID:464s,MovePP:15b}	{MoveID:225s,MovePP:5b}	{MoveID:486s,MovePP:10b}	{MoveID:414s,MovePP:10b}	Careful	252	252	-	-	-	-
419		Floatzel	Binding Band	{MoveID:214s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:258s,MovePP:20b}	{MoveID:322s,MovePP:15b}	Naive	-	252	-	-	-	252
429		Mismagius	Colbur Berry	{MoveID:225s,MovePP:5b}	{MoveID:21s,MovePP:10b}	{MoveID:350s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Naive	252	-	-	-	-	252
565		Carracosta	Sitrus Berry	{MoveID:214s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:511s,MovePP:15b}	{MoveID:215s,MovePP:15b}	Naughty	252	252	-	-	-	-
589		Escavalier	Liechi Berry	{MoveID:309s,MovePP:10b}	{MoveID:509s,MovePP:15b}	{MoveID:35s,MovePP:20b}	{MoveID:237s,MovePP:15b}	Brave	252	252	-	-	-	-
617		Accelgor	Focus Sash	{MoveID:311s,MovePP:5b}	{MoveID:436s,MovePP:10b}	{MoveID:276s,MovePP:10b}	{MoveID:422s,MovePP:20b}	Hasty	-	-	-	252	-	252
523		Zebstrika	Shuca Berry	{MoveID:37s,MovePP:15b}	{MoveID:524s,MovePP:20b}	{MoveID:263s,MovePP:15b}	{MoveID:258s,MovePP:20b}	Naughty	252	252	-	-	-	-
426		Drifblim	Salac Berry	{MoveID:224s,MovePP:20b}	{MoveID:326s,MovePP:20b}	{MoveID:484s,MovePP:5b}	{MoveID:255s,MovePP:40b}	Bold	-	-	252	-	252	-
537		Seismitoad	Chesto Berry	{MoveID:505s,MovePP:15b}	{MoveID:29s,MovePP:10b}	{MoveID:213s,MovePP:20b}	{MoveID:493s,MovePP:10b}	Rash	-	-	170	170	170	-
62		Poliwrath	Sitrus Berry	{MoveID:105s,MovePP:10b}	{MoveID:159s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:526s,MovePP:30b}	Naughty	170	170	-	170	-	-
78		Rapidash	Passho Berry	{MoveID:393s,MovePP:5b}	{MoveID:204s,MovePP:20b}	{MoveID:113s,MovePP:20b}	{MoveID:298s,MovePP:20b}	Naughty	-	252	-	-	-	252
89		Muk	Black Sludge	{MoveID:433s,MovePP:20b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	{MoveID:330s,MovePP:10b}	Brave	-	252	252	-	-	-
94		Gengar	Focus Sash	{MoveID:227s,MovePP:15b}	{MoveID:170s,MovePP:15b}	{MoveID:199s,MovePP:15b}	{MoveID:130s,MovePP:20b}	Timid	-	-	-	252	-	252
181		Ampharos	Shuca Berry	{MoveID:439s,MovePP:20b}	{MoveID:123s,MovePP:20b}	{MoveID:457s,MovePP:15b}	{MoveID:229s,MovePP:10b}	Mild	170	-	-	170	170	-
186		Politoed	Cell Battery	{MoveID:159s,MovePP:15b}	{MoveID:311s,MovePP:5b}	{MoveID:37s,MovePP:15b}	{MoveID:393s,MovePP:5b}	Modest	-	-	-	252	-	252
127		Pinsir	Persim Berry	{MoveID:469s,MovePP:20b}	{MoveID:201s,MovePP:15b}	{MoveID:90s,MovePP:10b}	{MoveID:35s,MovePP:20b}	Naughty	-	252	-	-	-	252
212		Scizor	Occa Berry	{MoveID:313s,MovePP:35b}	{MoveID:434s,MovePP:15b}	{MoveID:203s,MovePP:20b}	{MoveID:35s,MovePP:20b}	Brave	252	-	252	-	-	-
214		Heracross	Black Belt	{MoveID:203s,MovePP:20b}	{MoveID:258s,MovePP:20b}	{MoveID:35s,MovePP:20b}	{MoveID:201s,MovePP:15b}	Brave	170	170	170	-	-	-
217		Ursaring	Chesto Berry	{MoveID:90s,MovePP:10b}	{MoveID:260s,MovePP:15b}	{MoveID:29s,MovePP:10b}	{MoveID:114s,MovePP:20b}	Adamant	-	170	170	-	170	-
229		Houndoom	Charcoal	{MoveID:206s,MovePP:15b}	{MoveID:204s,MovePP:20b}	{MoveID:207s,MovePP:15b}	{MoveID:259s,MovePP:5b}	Adamant	-	252	-	-	-	252
232		Donphan	Metronome	{MoveID:58s,MovePP:10b}	{MoveID:47s,MovePP:10b}	{MoveID:282s,MovePP:20b}	{MoveID:144s,MovePP:40b}	Brave	-	252	252	-	-	-
321		Wailord	Chesto Berry	{MoveID:159s,MovePP:15b}	{MoveID:495s,MovePP:10b}	{MoveID:232s,MovePP:10b}	{MoveID:29s,MovePP:10b}	Brave	-	170	170	-	170	-
344		Claydol	{MoveID:117s,MovePP:25b} Bulb	{MoveID:129s,MovePP:10b}	{MoveID:105s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:224s,MovePP:20b}	Calm	252	-	-	-	252	-
437		Bronzong	Sitrus Berry	{MoveID:130s,MovePP:20b}	{MoveID:216s,MovePP:5b}	{MoveID:218s,MovePP:5b}	{MoveID:455s,MovePP:5b}	Impish	170	-	170	-	170	-
452		Drapion	Scope Lens	{MoveID:434s,MovePP:15b}	{MoveID:225s,MovePP:5b}	{MoveID:427s,MovePP:20b}	{MoveID:435s,MovePP:15b}	Bold	252	-	252	-	-	-
405		Luxray	Magnet	{MoveID:263s,MovePP:15b}	{MoveID:260s,MovePP:15b}	{MoveID:466s,MovePP:20b}	{MoveID:37s,MovePP:15b}	Lonely	-	252	-	-	252	-
38		Ninetales	Passho Berry	{MoveID:207s,MovePP:15b}	{MoveID:130s,MovePP:20b}	{MoveID:383s,MovePP:20b}	{MoveID:210s,MovePP:10b}	Modest	-	-	-	252	-	252
68		Machamp	Rawst Berry	{MoveID:308s,MovePP:5b}	{MoveID:268s,MovePP:10b}	{MoveID:290s,MovePP:40b}	{MoveID:486s,MovePP:10b}	Brave	252	252	-	-	-	-
213		Shuckle	Binding Band	{MoveID:488s,MovePP:10b}	{MoveID:311s,MovePP:5b}	{MoveID:421s,MovePP:10b}	{MoveID:277s,MovePP:15b}	Careful	252	-	-	-	252	-
407		Roserade	Big Root	{MoveID:16s,MovePP:10b}	{MoveID:4s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:276s,MovePP:10b}	Calm	252	-	252	-	-	-
430		Honchkrow	Kee Berry	{MoveID:129s,MovePP:10b}	{MoveID:269s,MovePP:15b}	{MoveID:21s,MovePP:10b}	{MoveID:445s,MovePP:20b}	Quiet	-	-	170	170	170	-
526		Gigalith	Rawst Berry	{MoveID:60s,MovePP:20b}	{MoveID:283s,MovePP:10b}	{MoveID:406s,MovePP:5b}	{MoveID:232s,MovePP:10b}	Naughty	170	170	170	-	-	-
